,RegionName,City,State,lat,lon,Date,Rent
73,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-01,731.0
180,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-02,734.0
287,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-03,736.0
394,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-04,739.0
501,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-05,741.0
608,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-06,744.0
715,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-07,746.0
822,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-08,749.0
929,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-09,751.0
1036,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-10,754.0
1143,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-11,756.0
1250,"Akron, OH",Akron, OH,41.083064,-81.518485,2014-12,758.0
1357,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-01,761.0
1464,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-02,763.0
1571,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-03,764.0
1678,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-04,766.0
1785,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-05,768.0
1892,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-06,770.0
1999,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-07,771.0
2106,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-08,773.0
2213,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-09,775.0
2320,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-10,776.0
2427,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-11,778.0
2534,"Akron, OH",Akron, OH,41.083064,-81.518485,2015-12,779.0
2641,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-01,781.0
2748,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-02,783.0
2855,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-03,785.0
2962,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-04,787.0
3069,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-05,788.0
3176,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-06,790.0
3283,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-07,792.0
3390,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-08,794.0
3497,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-09,795.0
3604,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-10,797.0
3711,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-11,799.0
3818,"Akron, OH",Akron, OH,41.083064,-81.518485,2016-12,801.0
3925,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-01,803.0
4032,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-02,804.0
4139,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-03,806.0
4246,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-04,807.0
4353,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-05,808.0
4460,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-06,810.0
4567,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-07,811.0
4674,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-08,812.0
4781,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-09,814.0
4888,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-10,815.0
4995,"Akron, OH",Akron, OH,41.083064,-81.518485,2017-11,816.0
